homophily_1,homophily_2,sustainability,step
0.0,0.0,0.05,4.78
0.05,0.0,0.02,2.82
0.1,0.0,0.05,4.55
0.15,0.0,0.04,3.96
0.2,0.0,0.05,5.38
0.25,0.0,0.04,4.52
0.3,0.0,0.02,2.82
0.35,0.0,0.03,3.83
0.4,0.0,0.05,4.65
0.45,0.0,0.02,2.87
0.5,0.0,0.02,2.6
0.55,0.0,0.03,3.39
0.6,0.0,0.0,1.97
0.65,0.0,0.04,3.42
0.7,0.0,0.0,2.02
0.75,0.0,0.01,3.26
0.8,0.0,0.0,1.8
0.85,0.0,0.0,1.89
0.9,0.0,0.0,2.17
0.95,0.0,0.0,2.19
0.99,0.0,0.0,1.89
0.0,0.05,0.04,4.64
0.05,0.05,0.02,2.67
0.1,0.05,0.09,7.4
0.15,0.05,0.03,4.26
0.2,0.05,0.02,3.31
0.25,0.05,0.02,3.15
0.3,0.05,0.0,2.11
0.35,0.05,0.04,4.19
0.4,0.05,0.0,2.04
0.45,0.05,0.02,3.25
0.5,0.05,0.03,3.58
0.55,0.05,0.02,3.25
0.6,0.05,0.04,3.93
0.65,0.05,0.0,1.97
0.7,0.05,0.0,1.98
0.75,0.05,0.01,2.95
0.8,0.05,0.01,2.85
0.85,0.05,0.02,3.04
0.9,0.05,0.0,2.15
0.95,0.05,0.0,2.06
0.99,0.05,0.0,1.87
0.0,0.1,0.08,6.93
0.05,0.1,0.06,6.5
0.1,0.1,0.04,4.63
0.15,0.1,0.05,5.26
0.2,0.1,0.03,3.84
0.25,0.1,0.02,3.51
0.3,0.1,0.02,3.08
0.35,0.1,0.03,3.51
0.4,0.1,0.03,3.62
0.45,0.1,0.03,3.81
0.5,0.1,0.04,4.31
0.55,0.1,0.0,2.88
0.6,0.1,0.0,2.14
0.65,0.1,0.0,2.11
0.7,0.1,0.01,3.17
0.75,0.1,0.01,2.78
0.8,0.1,0.0,2.16
0.85,0.1,0.0,2.42
0.9,0.1,0.0,2.1
0.95,0.1,0.0,1.96
0.99,0.1,0.0,2.04
0.0,0.15,0.07,5.85
0.05,0.15,0.07,5.94
0.1,0.15,0.05,5.34
0.15,0.15,0.06,5.5
0.2,0.15,0.04,4.48
0.25,0.15,0.07,6.25
0.3,0.15,0.06,6.25
0.35,0.15,0.01,2.86
0.4,0.15,0.02,3.52
0.45,0.15,0.01,2.83
0.5,0.15,0.03,3.65
0.55,0.15,0.02,3.43
0.6,0.15,0.03,4.01
0.65,0.15,0.01,3.09
0.7,0.15,0.03,3.61
0.75,0.15,0.03,3.43
0.8,0.15,0.03,3.69
0.85,0.15,0.0,2.63
0.9,0.15,0.01,2.74
0.95,0.15,0.0,2.04
0.99,0.15,0.0,2.57
0.0,0.2,0.07,5.64
0.05,0.2,0.07,6.46
0.1,0.2,0.05,5.11
0.15,0.2,0.06,6.46
0.2,0.2,0.07,6.57
0.25,0.2,0.02,4.08
0.3,0.2,0.07,6.16
0.35,0.2,0.05,5.25
0.4,0.2,0.03,4.34
0.45,0.2,0.02,3.62
0.5,0.2,0.01,3.18
0.55,0.2,0.04,4.36
0.6,0.2,0.02,3.99
0.65,0.2,0.02,4.02
0.7,0.2,0.0,2.31
0.75,0.2,0.04,4.17
0.8,0.2,0.02,3.99
0.85,0.2,0.0,2.82
0.9,0.2,0.01,3.43
0.95,0.2,0.0,1.94
0.99,0.2,0.0,2.79
0.0,0.25,0.13,10.34
0.05,0.25,0.07,6.27
0.1,0.25,0.09,8.34
0.15,0.25,0.03,4.56
0.2,0.25,0.04,5.15
0.25,0.25,0.04,4.36
0.3,0.25,0.07,6.57
0.35,0.25,0.06,5.76
0.4,0.25,0.03,4.17
0.45,0.25,0.03,4.41
0.5,0.25,0.07,6.74
0.55,0.25,0.02,4.02
0.6,0.25,0.01,3.54
0.65,0.25,0.01,2.84
0.7,0.25,0.04,4.77
0.75,0.25,0.02,3.79
0.8,0.25,0.01,3.86
0.85,0.25,0.0,2.91
0.9,0.25,0.01,2.97
0.95,0.25,0.01,3.03
0.99,0.25,0.0,2.75
0.0,0.3,0.02,4.04
0.05,0.3,0.09,7.46
0.1,0.3,0.03,4.28
0.15,0.3,0.07,7.01
0.2,0.3,0.07,7.15
0.25,0.3,0.05,5.72
0.3,0.3,0.01,3.48
0.35,0.3,0.04,5.2
0.4,0.3,0.05,5.53
0.45,0.3,0.07,7.0
0.5,0.3,0.04,5.67
0.55,0.3,0.04,4.57
0.6,0.3,0.03,4.86
0.65,0.3,0.01,3.05
0.7,0.3,0.01,3.64
0.75,0.3,0.02,4.26
0.8,0.3,0.01,3.36
0.85,0.3,0.01,3.7
0.9,0.3,0.0,3.05
0.95,0.3,0.0,2.92
0.99,0.3,0.0,2.9
0.0,0.35,0.08,7.7
0.05,0.35,0.12,9.37
0.1,0.35,0.05,5.52
0.15,0.35,0.06,5.84
0.2,0.35,0.04,5.7
0.25,0.35,0.12,9.8
0.3,0.35,0.04,5.52
0.35,0.35,0.07,7.28
0.4,0.35,0.05,5.59
0.45,0.35,0.05,6.06
0.5,0.35,0.05,5.37
0.55,0.35,0.05,5.81
0.6,0.35,0.05,5.87
0.65,0.35,0.01,3.76
0.7,0.35,0.02,4.8
0.75,0.35,0.02,3.37
0.8,0.35,0.0,2.76
0.85,0.35,0.01,3.44
0.9,0.35,0.02,3.97
0.95,0.35,0.0,3.57
0.99,0.35,0.0,2.96
0.0,0.4,0.06,6.82
0.05,0.4,0.07,7.3
0.1,0.4,0.16,11.78
0.15,0.4,0.05,7.22
0.2,0.4,0.06,6.49
0.25,0.4,0.08,7.74
0.3,0.4,0.07,7.38
0.35,0.4,0.05,6.48
0.4,0.4,0.05,5.47
0.45,0.4,0.05,6.15
0.5,0.4,0.07,7.97
0.55,0.4,0.03,4.89
0.6,0.4,0.07,7.05
0.65,0.4,0.01,3.61
0.7,0.4,0.04,6.31
0.75,0.4,0.04,6.08
0.8,0.4,0.01,3.45
0.85,0.4,0.02,5.55
0.9,0.4,0.02,4.72
0.95,0.4,0.01,3.99
0.99,0.4,0.0,2.72
0.0,0.45,0.1,8.82
0.05,0.45,0.12,9.72
0.1,0.45,0.12,9.92
0.15,0.45,0.08,7.48
0.2,0.45,0.08,7.58
0.25,0.45,0.16,12.9
0.3,0.45,0.04,5.37
0.35,0.45,0.09,9.5
0.4,0.45,0.06,7.28
0.45,0.45,0.06,5.65
0.5,0.45,0.01,4.17
0.55,0.45,0.06,7.36
0.6,0.45,0.04,5.32
0.65,0.45,0.02,3.81
0.7,0.45,0.02,5.28
0.75,0.45,0.02,4.87
0.8,0.45,0.04,5.88
0.85,0.45,0.03,4.87
0.9,0.45,0.02,4.68
0.95,0.45,0.02,4.35
0.99,0.45,0.0,4.13
0.0,0.5,0.11,9.5
0.05,0.5,0.13,9.48
0.1,0.5,0.17,13.03
0.15,0.5,0.15,11.35
0.2,0.5,0.18,14.14
