homophily_1,homophily_2,sustainability,step
0.0,0.0,0.533,18.349
0.05,0.0,0.512,17.837
0.1,0.0,0.499,17.237
0.15,0.0,0.494,17.43
0.2,0.0,0.502,17.286
0.25,0.0,0.478,16.16
0.3,0.0,0.48,16.399
0.35,0.0,0.464,15.958
0.4,0.0,0.475,16.101
0.45,0.0,0.453,15.228
0.5,0.0,0.443,15.106
0.55,0.0,0.427,14.166
0.6,0.0,0.421,13.862
0.65,0.0,0.416,13.482
0.7,0.0,0.396,12.653
0.75,0.0,0.393,12.611
0.8,0.0,0.379,12.21
0.85,0.0,0.387,11.614
0.9,0.0,0.391,11.382
0.95,0.0,0.356,11.204
0.99,0.0,0.342,10.569
0.0,0.05,0.516,19.075
0.05,0.05,0.532,18.677
0.1,0.05,0.505,18.442
0.15,0.05,0.498,17.759
0.2,0.05,0.484,17.586
0.25,0.05,0.507,17.402
0.3,0.05,0.477,16.574
0.35,0.05,0.449,16.535
0.4,0.05,0.475,16.407
0.45,0.05,0.442,15.178
0.5,0.05,0.434,15.024
0.55,0.05,0.42,14.993
0.6,0.05,0.419,14.527
0.65,0.05,0.416,13.966
0.7,0.05,0.418,14.419
0.75,0.05,0.408,12.951
0.8,0.05,0.395,12.515
0.85,0.05,0.362,12.221
0.9,0.05,0.406,12.255
0.95,0.05,0.364,10.927
0.99,0.05,0.349,11.166
0.0,0.1,0.571,20.303
0.05,0.1,0.54,19.418
0.1,0.1,0.558,19.905
0.15,0.1,0.534,19.204
0.2,0.1,0.54,18.391
0.25,0.1,0.486,18.247
0.3,0.1,0.502,17.757
0.35,0.1,0.482,17.174
0.4,0.1,0.467,16.43
0.45,0.1,0.483,16.692
0.5,0.1,0.457,16.282
0.55,0.1,0.451,15.786
0.6,0.1,0.421,15.135
0.65,0.1,0.39,14.617
0.7,0.1,0.44,14.6
0.75,0.1,0.398,14.052
0.8,0.1,0.398,12.988
0.85,0.1,0.403,12.998
0.9,0.1,0.388,12.678
0.95,0.1,0.377,11.863
0.99,0.1,0.369,11.354
0.0,0.15,0.567,20.446
0.05,0.15,0.543,20.398
0.1,0.15,0.541,20.039
0.15,0.15,0.567,20.321
0.2,0.15,0.541,19.562
0.25,0.15,0.528,18.822
0.3,0.15,0.487,18.365
0.35,0.15,0.506,18.14
0.4,0.15,0.492,17.644
0.45,0.15,0.475,17.014
0.5,0.15,0.463,16.517
0.55,0.15,0.478,16.112
0.6,0.15,0.438,15.682
0.65,0.15,0.409,15.049
0.7,0.15,0.427,15.01
0.75,0.15,0.41,14.296
0.8,0.15,0.383,13.992
0.85,0.15,0.383,13.5
0.9,0.15,0.37,12.456
0.95,0.15,0.357,12.318
0.99,0.15,0.361,11.556
0.0,0.2,0.588,21.754
0.05,0.2,0.571,20.853
0.1,0.2,0.562,21.51
0.15,0.2,0.549,21.032
0.2,0.2,0.528,19.02
0.25,0.2,0.527,19.388
0.3,0.2,0.514,19.624
0.35,0.2,0.505,18.456
0.4,0.2,0.488,18.362
0.45,0.2,0.505,17.816
0.5,0.2,0.473,17.123
0.55,0.2,0.465,17.002
0.6,0.2,0.464,16.593
0.65,0.2,0.453,16.414
0.7,0.2,0.434,15.471
0.75,0.2,0.411,15.439
0.8,0.2,0.42,14.466
0.85,0.2,0.397,13.627
0.9,0.2,0.367,13.587
0.95,0.2,0.373,12.629
0.99,0.2,0.362,12.323
0.0,0.25,0.581,22.246
0.05,0.25,0.602,22.377
0.1,0.25,0.579,21.61
0.15,0.25,0.585,22.334
0.2,0.25,0.603,22.331
0.25,0.25,0.56,21.387
0.3,0.25,0.533,20.535
0.35,0.25,0.519,19.906
0.4,0.25,0.48,18.892
0.45,0.25,0.517,19.202
0.5,0.25,0.48,18.965
0.55,0.25,0.467,17.788
0.6,0.25,0.452,17.726
0.65,0.25,0.446,16.671
0.7,0.25,0.431,15.972
0.75,0.25,0.415,15.432
0.8,0.25,0.402,15.274
0.85,0.25,0.379,14.557
0.9,0.25,0.4,14.127
0.95,0.25,0.365,13.647
0.99,0.25,0.356,13.171
0.0,0.3,0.606,23.527
0.05,0.3,0.574,22.186
0.1,0.3,0.578,22.512
0.15,0.3,0.587,22.76
0.2,0.3,0.573,22.111
0.25,0.3,0.563,22.0
0.3,0.3,0.55,21.173
0.35,0.3,0.556,21.419
0.4,0.3,0.526,20.98
0.45,0.3,0.506,19.895
0.5,0.3,0.501,19.418
0.55,0.3,0.51,19.876
0.6,0.3,0.479,18.097
0.65,0.3,0.475,17.97
0.7,0.3,0.469,17.673
0.75,0.3,0.426,16.857
0.8,0.3,0.405,16.067
0.85,0.3,0.411,15.453
0.9,0.3,0.418,14.901
0.95,0.3,0.402,14.547
0.99,0.3,0.345,13.611
0.0,0.35,0.634,24.988
0.05,0.35,0.619,24.664
0.1,0.35,0.634,25.037
0.15,0.35,0.618,24.155
0.2,0.35,0.598,23.3
0.25,0.35,0.603,23.407
0.3,0.35,0.589,22.756
0.35,0.35,0.558,22.377
0.4,0.35,0.562,21.37
0.45,0.35,0.553,21.07
0.5,0.35,0.516,20.155
0.55,0.35,0.487,19.929
0.6,0.35,0.491,19.838
0.65,0.35,0.46,18.662
0.7,0.35,0.482,19.014
0.75,0.35,0.462,17.434
0.8,0.35,0.42,17.296
0.85,0.35,0.414,15.925
0.9,0.35,0.398,15.782
0.95,0.35,0.378,14.846
0.99,0.35,0.394,14.271
