step,frac_a,frac_a_min,frac_a_max,ensemble
0,0.001,0.0,0.0010526315789473684,1
1,0.0,0.0,0.0,1
0,0.001,0.0,0.0010526315789473684,2
1,0.001,0.0,0.0010526315789473684,2
2,0.002,0.0,0.002105263157894737,2
3,0.003,0.0,0.003157894736842105,2
4,0.002,0.0,0.002105263157894737,2
5,0.005,0.0,0.005263157894736842,2
6,0.006,0.0,0.00631578947368421,2
7,0.011,0.0,0.011578947368421053,2
8,0.017,0.0,0.017894736842105262,2
9,0.029,0.0,0.030526315789473683,2
10,0.034,0.0,0.035789473684210524,2
11,0.022,0.0,0.023157894736842106,2
12,0.03,0.0,0.031578947368421054,2
13,0.036,0.0,0.037894736842105266,2
14,0.044,0.0,0.04631578947368421,2
15,0.048,0.0,0.05052631578947368,2
16,0.048,0.0,0.05052631578947368,2
17,0.053,0.0,0.05578947368421053,2
18,0.068,0.0,0.07157894736842105,2
19,0.069,0.0,0.07263157894736842,2
20,0.085,0.0,0.08947368421052632,2
21,0.101,0.0,0.10631578947368421,2
22,0.125,0.0,0.13157894736842105,2
23,0.152,0.0,0.16,2
24,0.195,0.0,0.20526315789473684,2
25,0.216,0.0,0.22736842105263158,2
26,0.235,0.0,0.24736842105263157,2
27,0.278,0.0,0.2926315789473684,2
28,0.315,0.0,0.33157894736842103,2
29,0.339,0.0,0.3568421052631579,2
30,0.383,0.0,0.4031578947368421,2
31,0.436,0.0,0.4589473684210526,2
32,0.478,0.0,0.5031578947368421,2
33,0.519,0.0,0.5463157894736842,2
34,0.58,0.0,0.6105263157894737,2
35,0.622,0.0,0.6547368421052632,2
36,0.661,0.0,0.6957894736842105,2
37,0.703,0.0,0.74,2
38,0.726,0.0,0.7642105263157895,2
39,0.746,0.0,0.7852631578947369,2
40,0.773,0.0,0.8136842105263158,2
41,0.78,0.0,0.8210526315789474,2
42,0.781,0.0,0.8221052631578948,2
43,0.804,0.0,0.8463157894736842,2
44,0.834,0.0,0.8778947368421053,2
45,0.847,0.0,0.891578947368421,2
46,0.853,0.0,0.8978947368421053,2
47,0.859,0.0,0.9042105263157895,2
48,0.863,0.02,0.9073684210526316,2
49,0.868,0.06,0.9105263157894737,2
50,0.889,0.1,0.9305263157894736,2
51,0.905,0.06,0.9494736842105264,2
52,0.91,0.02,0.9568421052631579,2
53,0.918,0.04,0.9642105263157895,2
54,0.925,0.06,0.9705263157894737,2
55,0.927,0.04,0.9736842105263158,2
56,0.916,0.02,0.9631578947368421,2
57,0.921,0.04,0.9673684210526315,2
58,0.916,0.12,0.9578947368421052,2
59,0.921,0.1,0.9642105263157895,2
60,0.922,0.12,0.9642105263157895,2
61,0.926,0.18,0.9652631578947368,2
62,0.926,0.14,0.9673684210526315,2
63,0.923,0.16,0.9631578947368421,2
64,0.941,0.26,0.9768421052631578,2
65,0.951,0.32,0.9842105263157894,2
66,0.957,0.42,0.9852631578947368,2
67,0.963,0.44,0.9905263157894737,2
68,0.969,0.52,0.9926315789473684,2
69,0.981,0.64,0.9989473684210526,2
70,0.983,0.7,0.9978947368421053,2
71,0.983,0.72,0.9968421052631579,2
72,0.986,0.74,0.9989473684210526,2
73,0.989,0.8,0.9989473684210526,2
74,0.994,0.92,0.9978947368421053,2
75,0.996,1.0,0.9957894736842106,2
76,0.999,1.0,0.9989473684210526,2
77,0.998,1.0,0.9978947368421053,2
78,1.0,1.0,1.0,2
0,0.001,0.0,0.0010526315789473684,3
1,0.002,0.0,0.002105263157894737,3
2,0.001,0.02,0.0,3
3,0.001,0.02,0.0,3
4,0.001,0.02,0.0,3
5,0.002,0.04,0.0,3
6,0.004,0.08,0.0,3
7,0.006,0.1,0.0010526315789473684,3
8,0.005,0.1,0.0,3
9,0.009,0.16,0.0010526315789473684,3
10,0.011,0.22,0.0,3
11,0.013,0.24,0.0010526315789473684,3
12,0.021,0.38,0.002105263157894737,3
13,0.024,0.44,0.002105263157894737,3
14,0.03,0.48,0.00631578947368421,3
15,0.033,0.46,0.010526315789473684,3
16,0.036,0.48,0.01263157894736842,3
17,0.041,0.52,0.015789473684210527,3
18,0.053,0.72,0.017894736842105262,3
19,0.054,0.62,0.024210526315789474,3
20,0.064,0.56,0.037894736842105266,3
21,0.08,0.56,0.05473684210526316,3
22,0.1,0.74,0.06631578947368422,3
23,0.11,0.8,0.07368421052631578,3
24,0.12,0.82,0.08315789473684211,3
25,0.139,0.9,0.09894736842105263,3
26,0.165,0.96,0.1231578947368421,3
27,0.179,0.98,0.1368421052631579,3
28,0.213,0.98,0.1726315789473684,3
29,0.254,1.0,0.21473684210526317,3
30,0.275,0.98,0.23789473684210527,3
31,0.333,0.92,0.3021052631578947,3
32,0.393,0.98,0.36210526315789476,3
33,0.428,0.98,0.3989473684210526,3
34,0.473,0.98,0.4463157894736842,3
35,0.528,1.0,0.5031578947368421,3
36,0.553,1.0,0.5294736842105263,3
37,0.592,1.0,0.5705263157894737,3
38,0.627,1.0,0.6073684210526316,3
39,0.671,1.0,0.6536842105263158,3
40,0.695,1.0,0.6789473684210526,3
41,0.721,1.0,0.7063157894736842,3
42,0.758,1.0,0.7452631578947368,3
43,0.767,1.0,0.7547368421052632,3
44,0.806,1.0,0.7957894736842105,3
45,0.805,0.98,0.7957894736842105,3
46,0.826,1.0,0.8168421052631579,3
47,0.852,1.0,0.8442105263157895,3
48,0.87,1.0,0.8631578947368421,3
49,0.871,1.0,0.8642105263157894,3
50,0.884,1.0,0.8778947368421053,3
51,0.902,1.0,0.8968421052631579,3
52,0.912,1.0,0.9073684210526316,3
53,0.93,1.0,0.9263157894736842,3
54,0.929,0.98,0.9263157894736842,3
55,0.945,0.98,0.9431578947368421,3
56,0.948,0.98,0.9463157894736842,3
57,0.961,0.94,0.9621052631578947,3
58,0.972,0.94,0.9736842105263158,3
59,0.976,0.94,0.9778947368421053,3
60,0.972,0.98,0.9715789473684211,3
61,0.974,0.92,0.9768421052631578,3
62,0.985,0.96,0.9863157894736843,3
63,0.995,1.0,0.9947368421052631,3
64,0.997,1.0,0.9968421052631579,3
65,0.997,1.0,0.9968421052631579,3
66,0.998,1.0,0.9978947368421053,3
67,0.999,1.0,0.9989473684210526,3
68,1.0,1.0,1.0,3
0,0.001,0.0,0.0010526315789473684,4
1,0.001,0.0,0.0010526315789473684,4
2,0.0,0.0,0.0,4
0,0.001,0.0,0.0010526315789473684,5
1,0.003,0.0,0.003157894736842105,5
