step,frac_a,frac_a_min,frac_a_max,ensemble
0,0.002,0.02,0.0010526315789473684,1
1,0.004,0.0,0.004210526315789474,1
2,0.007,0.0,0.007368421052631579,1
3,0.012,0.0,0.01263157894736842,1
4,0.013,0.0,0.01368421052631579,1
5,0.016,0.0,0.016842105263157894,1
6,0.017,0.0,0.017894736842105262,1
7,0.023,0.0,0.024210526315789474,1
8,0.025,0.0,0.02631578947368421,1
9,0.029,0.0,0.030526315789473683,1
10,0.025,0.02,0.02526315789473684,1
11,0.038,0.02,0.03894736842105263,1
12,0.04,0.04,0.04,1
13,0.047,0.02,0.04842105263157895,1
14,0.044,0.02,0.045263157894736845,1
15,0.046,0.0,0.04842105263157895,1
16,0.053,0.0,0.05578947368421053,1
17,0.057,0.0,0.06,1
18,0.055,0.0,0.05789473684210526,1
19,0.07,0.02,0.07263157894736842,1
20,0.09,0.04,0.09263157894736843,1
21,0.106,0.1,0.10631578947368421,1
22,0.148,0.24,0.1431578947368421,1
23,0.18,0.28,0.17473684210526316,1
24,0.223,0.2,0.22421052631578947,1
25,0.243,0.26,0.24210526315789474,1
26,0.296,0.2,0.30105263157894735,1
27,0.323,0.26,0.3263157894736842,1
28,0.34,0.38,0.33789473684210525,1
29,0.386,0.42,0.38421052631578945,1
30,0.432,0.4,0.4336842105263158,1
31,0.471,0.48,0.4705263157894737,1
32,0.538,0.54,0.5378947368421053,1
33,0.623,0.58,0.6252631578947369,1
34,0.66,0.68,0.6589473684210526,1
35,0.707,0.9,0.6968421052631579,1
36,0.781,0.88,0.7757894736842105,1
37,0.827,0.94,0.8210526315789474,1
38,0.867,0.88,0.8663157894736843,1
39,0.88,0.92,0.8778947368421053,1
40,0.915,0.98,0.911578947368421,1
41,0.954,0.96,0.9536842105263158,1
42,0.956,0.94,0.9568421052631579,1
43,0.954,0.94,0.9547368421052631,1
44,0.963,0.98,0.9621052631578947,1
45,0.961,0.98,0.96,1
46,0.958,1.0,0.9557894736842105,1
47,0.966,1.0,0.9642105263157895,1
48,0.972,1.0,0.9705263157894737,1
49,0.98,0.98,0.98,1
50,0.983,0.96,0.9842105263157894,1
51,0.976,0.92,0.9789473684210527,1
52,0.976,0.98,0.9757894736842105,1
53,0.97,0.92,0.9726315789473684,1
54,0.969,0.92,0.9715789473684211,1
55,0.965,0.9,0.968421052631579,1
56,0.966,0.92,0.968421052631579,1
57,0.962,0.94,0.9631578947368421,1
58,0.958,0.94,0.9589473684210527,1
59,0.959,0.96,0.9589473684210527,1
60,0.976,0.96,0.9768421052631578,1
61,0.979,0.98,0.9789473684210527,1
62,0.987,0.98,0.9873684210526316,1
63,0.983,0.98,0.9831578947368421,1
64,0.98,0.98,0.98,1
65,0.98,0.98,0.98,1
66,0.983,1.0,0.9821052631578947,1
67,0.986,1.0,0.9852631578947368,1
68,0.985,1.0,0.9842105263157894,1
69,0.995,1.0,0.9947368421052631,1
70,0.99,1.0,0.9894736842105263,1
71,0.991,1.0,0.9905263157894737,1
72,0.991,1.0,0.9905263157894737,1
73,0.997,1.0,0.9968421052631579,1
74,0.999,1.0,0.9989473684210526,1
75,1.0,1.0,1.0,1
0,0.002,0.02,0.0010526315789473684,2
1,0.006,0.06,0.003157894736842105,2
2,0.015,0.02,0.014736842105263158,2
3,0.018,0.02,0.017894736842105262,2
4,0.017,0.02,0.016842105263157894,2
5,0.017,0.0,0.017894736842105262,2
6,0.017,0.0,0.017894736842105262,2
7,0.021,0.0,0.022105263157894735,2
8,0.025,0.0,0.02631578947368421,2
9,0.027,0.02,0.02736842105263158,2
10,0.029,0.0,0.030526315789473683,2
11,0.029,0.04,0.028421052631578948,2
12,0.041,0.06,0.04,2
13,0.046,0.08,0.04421052631578947,2
14,0.048,0.08,0.04631578947368421,2
15,0.058,0.0,0.061052631578947365,2
16,0.06,0.0,0.06315789473684211,2
17,0.055,0.0,0.05789473684210526,2
18,0.055,0.02,0.056842105263157895,2
19,0.06,0.04,0.061052631578947365,2
20,0.066,0.02,0.06842105263157895,2
21,0.068,0.06,0.06842105263157895,2
22,0.08,0.08,0.08,2
23,0.083,0.04,0.08526315789473685,2
24,0.091,0.0,0.09578947368421052,2
25,0.099,0.0,0.10421052631578948,2
